계약관서,계약명,계약방법,계약일자,계약금액,계약상대자
본청,2023년 산림병해충 방제를 위한 약제(산림녹지과),수의1인견적,2023-06-30,19640000,진천농약사
본청,「2023년 다목적광장 및 쉼터조성사업」관급자재 구입(MS에코담장)(건축디자인과),수의1인견적,2023-07-03,6720000,주식회사 글로벌이앤씨
본청,진천음성 광역폐기물매립시설 우수침투방지자재(식산업자원과),수의1인견적,2023-07-04,3250000,대호농자재
본청,민방위 주민대피시설 비상물품함 및 표지판 구입설치(안전총괄과),수의1인견적,2023-07-04,8410000,스카이광고
본청,가축분뇨공공처리시설 공기압축기 수선(환경에너지과),수의1인견적,2023-07-05,4200000,한신콤프렛서
본청,생거진천전통시장 노점상인 휴게용 컨테이너(경제과),수의1인견적,2023-07-05,13500000,세움모빌 주식회사
본청,2023년 덕산1호근린공원 어린이놀이시설(조합놀이대) 부속품(산림녹지과),수의1인견적,2023-07-12,6625000,(주)신이랜드
본청,광혜원2농공단지 중계펌프장 펌프 수리(환경에너지과),수의1인견적,2023-07-13,20000000,금정펌프 주식회사
본청,2023년 기초번호판 설치(민원토지과),수의1인견적,2023-07-14,8905000,충북로드
본청,어린이(가족) 특화공간 조성사업 관급자재(빌딩자동제어 장치)(건축디자인과),수의1인견적,2023-07-14,82700000,비콤시스템 주식회사
본청,광혜원산단 공공폐수처리시설 자외선소독설비 구입(환경에너지과),수의1인견적,2023-07-17,15600000,이그린텍
본청,광혜원산단 공공폐수처리시설 이온성계측기 구입(환경에너지과),수의1인견적,2023-07-18,15200000,(주)네오이엔지
본청,2023년도 대규모 코스모스 꽃단지 조성을 위한 코스모스 종자(산림녹지과),수의1인견적,2023-07-19,5260000,하나로화원
본청,어울림광장 공영주차장 간판 제작(건설교통과),수의1인견적,2023-07-28,16600000,프로광고기획
본청,드림스타트 보육(인지언어) 프로그램 진행에 따른 사공설 미술키트(가족친화과),수의1인견적,2023-07-28,6364000,사공설 주식회사
본청,폭염 대응 홍보물품(안전총괄과),수의1인견적,2023-08-03,20000000,고려기프트 주식회사
본청,진천군 가축분뇨공공처리시설(증설분) 산소발생기 소모품(제올라이트) 교체(환경에너지과),수의1인견적,2023-08-11,15800000,(주)원하이테크
본청,제78주년 광복절 기념 나라사랑 대형 태극기 현수막 제작(행정지원과),수의1인견적,2023-08-11,8950000,오투기획
본청,신척산수산단 공공폐수처리시설 슬러지수집기 감속체인 교체(환경에너지과),수의1인견적,2023-08-16,9000000,효림이엔아이 주식회사
본청,수상안전 인명사고 예방시설(안전총괄과),수의1인견적,2023-08-18,21300000,감환경디자인 주식회사
본청,2023년 하반기 식품진흥기금 위생물품 구입,수의1인견적,2023-08-22,5280000,유진한일합섬(주)
본청,케이푸드밸리산업단지 공공폐수처리시설 2단계 증설공사 관급자재 구입(활성탄여과기)(환경에너지과),수의1인견적,2023-08-25,88000000,(주)엔바이로텍
본청,2023년 추석맞이 사회복지시설 위문 물품 구입(주민복지과),수의1인견적,2023-08-30,8003300,진천축산업협동조합
본청,생거판화미술관 특별기획전 도록 등 제작(문화관광과),수의1인견적,2023-09-08,19100000,삼성엘리트인쇄(주)
본청,2023년 장애인보조기기(가족친화과),수의1인견적,2023-09-12,2846000,대영스포츠의료기
본청,「기전소하천 정비사업」관급자재(거더) 구매[기전 제2교](안전총괄과),수의1인견적,2023-09-13,92000000,주식회사 미강이엔씨
본청,진천군 가축분뇨공공처리시설(증설분) 산소발생기 밸브 교체(환경에너지과),수의1인견적,2023-09-14,7700000,주식회사 오에이에스
본청,2023년 산사태취약지역 표지판(산림녹지과),수의1인견적,2023-09-19,7300000,스카이광고
본청,회계과 전자복사기 구입(회계과),수의1인견적,2023-09-20,2860000,희성정보통신
본청,2023년 주요 진천군정 소책자 제작(기획감사실),수의1인견적,2023-09-22,5985000,오투기획
본청,2023년 대형폐기물 신고필증 스티커 추가 제작(식산업자원과),수의1인견적,2023-09-22,8941000,싸인아트
본청,안전총괄과 전자복사기(안전총괄과),수의1인견적,2023-09-22,2860000,희성정보통신
본청,2023년 생거진천 치유의 숲 조경수목(산림녹지과),수의1인견적,2023-09-22,4460000,더블유가든센터
본청,정보화교육 교재 구입,수의1인견적,2023-09-22,4246000,진천서점
본청,2023년 생거진천 문화축제 준비를 위한 꽃묘(산림녹지과),수의1인견적,2023-09-26,5922500,좋은날 농원
본청,2023년도 가을 꽃길 조성을 위한 국화(산림녹지과),수의1인견적,2023-10-04,9062500,주식회사 혁신산업
본청,신척산업단지 공공폐수처리시설 탈수기 제어반 교체(환경에너지과),수의1인견적,2023-10-05,5850000,태성전기(주)
본청,생활폐기물 분리배출시설 제작(식산업자원과),수의1인견적,2023-10-12,13500000,국제기업
본청,2023년 미르숲 운영 관리를 위한 수국(산림녹지과),수의1인견적,2023-10-12,4708800,국제원예종묘 농업회사법인 주식회사
본청,2023년 봉화산 지역특화 숲길 조성 사업 관급자재 구입 의뢰(개비온월판넬)(산림녹지과),수의1인견적,2023-10-12,4850000,더 어울림
본청,노후 네트워크 스위치 통합관리 시스템(TiController) 교체(홍보미디어실),수의1인견적,2023-10-16,18200000,주식회사 와이에스기업
본청,2023년 지역사회서비스 투자사업 홍보물품(주민복지과),수의1인견적,2023-10-17,7452000,스카이광고
본청,K-스마트 인공지능 교육센터 전자칠판(교육청소년과),수의1인견적,2023-10-17,6180000,희성정보통신
본청,보재이상설기념관 전시유물 복제제작(주민복지과),수의1인견적,2023-10-18,28250000,(주)다산애드컴
본청,2023년도 진천군 제설장비 수리(건설교통과),수의1인견적,2023-10-19,11750000,리텍 주식회사
본청,설계적산 프로그램(EST 최신판) 라이선스(홍보미디어실),수의1인견적,2023-10-19,8550000,(주)다산소프트
본청,향토음식거리(초평붕어마을)메뉴판 제작(식산업자원과),수의1인견적,2023-10-19,8596000,(주)진천가이드
본청,본청 동관 3층 남직원 휴게실 가구(행정지원과),수의1인견적,2023-10-20,4312230,중부사무용가구
본청,2023년 폭염저감시설(스마트그늘막) 설치(안전총괄과),수의1인견적,2023-10-20,19000000,본네이처
본청,온실형 아쿠아포닉스 스마트팜 장치(주민복지과),제한경쟁,2023-10-20,108400000,그린종합사무기
본청,제설용 모래(건설교통과),수의1인견적,2023-10-23,19975000,주시회사 옥산개발
본청,2023년 생거진천 자연휴양림 객실 운영에 따른 침구류 구입(산림녹지과),수의1인견적,2023-10-25,8450000,커텐과이불
본청,2023년 진천군 가을철 산불조심기간 진화복(안전총괄과),수의1인견적,2023-10-25,18090000,블루컴퍼니
본청,진천 성암천 상습침수지역 재해예방사업 관급자재 구입(혁신장터)(건설교통과),수의1인견적,2023-10-27,11016000,(주)펜타드
본청,『진천읍 도시재생사업(3無 안심거리 조성)』 관급자재(클린하우스) 집행(지역개발과),수의1인견적,2023-10-27,30000000,주식회사 백산테크
본청,K-스마트 인공지능 교육센터 레이저커팅기 등 구입(교육청소년과),수의1인견적,2023-11-02,9200000,부광GTC
본청,진천읍 재난전광판 제작 및 설치(안전총괄과),수의1인견적,2023-11-02,373190200,주식회사 케이엘디
본청,층간소음측정기 구입(건축디자인과),수의1인견적,2023-11-02,9840000,중앙계측기 주식회사
본청,홍보미디어실 전자복사기 구입(홍보미디어실),수의1인견적,2023-11-06,2860000,희성정보통신
본청,생거진천전통시장 쓰레기 분리수거장(경제과),수의1인견적,2023-11-06,20500000,(주)아이안디자인
본청,관급자재 구입(성암초등학교 어린이보호구역 가열융착식(논슬립)표지)(건설교통과),수의1인견적,2023-11-06,8780000,스마트산업
본청,K-스마트 인공지능 교육센터 3D프린터(교육청소년과),수의1인견적,2023-11-07,6200000,수복상사
본청,진천군 음식물류폐기물 처리시설 사물인터넷(IoT) 측정기기 설치(식산업자원과),수의1인견적,2023-11-07,15000000,영우종합환경 주식회사
본청,이월터미널 버스승강장 냉난방기(건설교통과),수의1인견적,2023-11-07,3000000,가람이엔지
본청,"제설제(소금, 염화칼슘) 구입(건설교통과)",일반경쟁,2023-11-08,116979900,주식회사 에이치원
본청,가축분뇨공공처리시설(증설분) 활성탄여과기 여재 교체(환경에너지과),수의1인견적,2023-11-08,7400000,(주)한인엠시티
본청,제2통신실 KVM 스위치 구입(홍보미디어실),수의1인견적,2023-11-09,4650000,주식회사 와이에스기업
본청,진천 문화예술회관 건립공사(건축) 관급자재(화물용 엘리베이터)(지역개발과),제한경쟁,2023-11-13,108972690,(주)대한특수승강기
본청,「읍내리 공영주차장 조성공사(통공)」관급자재(골재) (건설교통과),수의1인견적,2023-11-13,3427200,금성개발
본청,드림스타트 가족미션 챌린지 프로그램 진행에 따른 밀키트(가족친화과),수의1인견적,2023-11-13,4154200,담꾹 진천혁신도시점
본청,2023년도 밤나무단지 수종갱신을 위한 묘목 구입(가을철)(산림녹지과),수의1인견적,2023-11-14,4320000,진천군산림조합
본청,신척산수산단 공공폐수처리시설 송풍기 수선(환경에너지과),수의1인견적,2023-11-14,12800000,(주)터보맥스
본청,2023년 자연재난 대비 수방자재(안전총괄과),수의1인견적,2023-11-14,11589200,동명종합상사
본청,지진가속도계측기 기록계 및 센서 교체 구입,수의1인견적,2023-11-15,21780000,주식회사 에이케이지씨
본청,2023년도 재해구호 지원사업(한파 피해 예방대책 추진)을 위한 물품 구입(주민복지과),수의1인견적,2023-11-15,6921600,이브자리
본청,광혜원산단 공공폐수처리시설 수질분석기 구매(환경에너지과),수의2인이상견적,2023-11-15,88000000,(주)네오이엔지
본청,미르숲 황토맨발숲길 조성사업 관급자재(흙먼지털이기)(산림녹지과),수의1인견적,2023-11-20,18000000,산하그린
본청,2023년 밤나무단지 관리를 위한 고형비료(산림녹지과),수의1인견적,2023-11-21,3450000,진천농약사
본청,생활권 등산로 2차 정비사업 관급자재(평상)(산림녹지과),수의1인견적,2023-11-23,9150000,아이원체육조경 대표 한광제
본청,IP방송시스템 추가 단말기 구입(홍보미디어실),수의1인견적,2023-11-23,2300000,주식회사 스마트아이
본청,미르숲 황토맨발숲길 조성 사업 관급자재(세족장 외) (산림녹지과),수의1인견적,2023-11-23,29200000,지인
본청,미르숲 황토맨발숲길 조성사업 관급자재(포토존벤치)(산림녹지과),수의1인견적,2023-11-23,8300000,와하
본청,진천·음성 광역폐기물 매립시설 굴착기 부품(집게)(식산업자원과),수의1인견적,2023-11-27,7180000,엠티중공업(주)
본청,진천군 음식물류폐기물공공처리시설 선별기 등 구입(식산업자원과),수의1인견적,2023-11-28,203000000,(주)엔바이로텍
본청,보재이상설기념관 안내데스크 제작(주민복지과),수의1인견적,2023-11-28,6500000,(주)다산애드컴
본청,2023년 여성 안심화장실 조성사업 안심스크린 설치(식산업자원과),수의1인견적,2023-11-29,5280000,두리광고
본청,신척산수산단 공공폐수처리시설 수위계 외 1건(환경에너지과),수의1인견적,2023-11-29,14650000,한국플로우
본청,화재대피용 생명구조타올 구입,수의1인견적,2023-11-30,9157500,세이빙스토리
본청,지역현장 재난안전점검을 위한 안전점검용 드론(안전총괄과),수의2인이상견적,2023-12-01,88330000,주식회사자이언트드론
본청,삼수초등학교일원 어린이보호구역 정비공사에 따른 관급자재 구입(옐로카펫)(건설교통과),수의1인견적,2023-12-01,12600000,스마트산업
본청,정보화교육 교재 구입,수의1인견적,2023-12-01,4640000,진천서점
본청,미르숲 황토맨발숲길 조성 사업 관급자재 구입(피크닉테이블)(산림녹지과),수의1인견적,2023-12-01,2100000,주식회사 이지데코
본청,미르숲 황토맨발숲길 조성 사업 관급자재 구입(그늘막벤치)(산림녹지과),수의1인견적,2023-12-01,4396000,(주)삼인
본청,신척산수산단 공공폐수처리시설 CCTV교체(환경에너지과),수의1인견적,2023-12-04,8950000,(주)삼미무선정보시스템
본청,『송강 문화창조마을 조성사업(전기)』 관급자재 (태양광발전시설)(문화관광과),수의1인견적,2023-12-05,390000000,쏠라리버주식회사
본청,진천 스토리창작클러스터 내부집기(침구류) 구입 계약 집행,수의1인견적,2023-12-07,20655200,커텐과이불
